title,num_comments,link,text,comments
Президент назначил и.о. первого заместителя председателя ГТК,0,https://uznews.uz/posts/6413,"Согласно указу президента, Мухторов Ильхом Мухторович назначен исполняющим обязанности первого заместителя председателя Государственного таможенного комитета. Ранее он возглавлял Управление мониторинга и оценки рисков ГТК. ",[]
Назначен новый заместитель министра сельского хозяйства,0,https://uznews.uz/posts/6427,"Тураев Алишер Мэлсович назначен заместителем министра сельского — генеральным директором Национального центра знаний и инноваций в сельском хозяйстве, сообщает пресс-служба Министерства. Алишер Тураев родился в 1961 году. Он окончил Московский государственный университет имени М.В. Ломоносова, по специальности – биолог-генетик. С июня 2019 года он вел свою деятельность в качестве профессора кафедры генетики, селекции и семеноводства сельскохозяйственных культур Ташкентского государственного аграрного университета. ",[]
Уткир Жумаев утвержден хокимом города Бухары,0,https://uznews.uz/posts/6495,"Сегодня, 13 февраля, на тридцатой сессии Кенгаша народных депутатов Бухарской области была единогласно одобрена кандидатура Уткира Жумаев на пост хокима города Бухары. Об этом сообщили в пресс-службе городского хокимията. Он исполнял обязанности хокима Бухары с марта прошлого года. До назначения Уткир Жумаев работал заместителем хокима Бухары по вопросам развития промышленности, капитального строительства, коммуникациям и коммунального хозяйства. ",[]
Назначен новый прокурор города Ташкента,6,https://uznews.uz/posts/6517,"Косимов Улугбек Бердикобилович назначен прокурором города Ташкента. Ранее он занимал должность прокурора Ферганской области. Напомним , Бахриддин Валиев, занимавший должность прокурора столицы, назначен первым заместителем Генерального прокурора.","['Очень хорошо исполняет свою обязанность. Собрал команду специалистов которые знают свое дело!', 'Энергичный, инициативный, компетентный руководитель. ']"
В руководящем составе МВД произведён ряд назначений,6,https://uznews.uz/posts/6518,На должность начальника Академии МВД Узбекистана назначен Хатамов Рустам Абдуганиевич. Соответствующий указ подписал президент Шавкат Мирзиёев. До своего назначения Р. Хатамов работал заместителем министра внутренних дел Узбекистана — начальником Главного управления кадров. Пост заместителя министра внутренних дел — начальника следственного департамента занял Абдулхаков Яхёжон Артикбоевич. Заместителем министра внутренних дел по информационным технологиям назначен Тураходжаев Наджмиддин Садирович. Ранее он возглавлял Государственный центр персонализации при Кабинете министров Узбекистана.,"['Я думаю что после таких встреч в системе точно будет хорошие изменении', 'Это все происходит за полгода до выборов.\nСтолько новых назначений. Это больше похож на ""предвыборную"" компанию только по узбекски ', 'Ну, ...пошло, ....поехало....!!!!']"
Назначен первый заместитель Генпрокурора,14,https://uznews.uz/posts/6521,"Валиев Бахриддин Баходирович назначен первым заместителем Генерального прокурора Республики Узбекистан, сообщает пресс-служба президента. Ранее он занимал должности прокурора города Ташкента и Бухарской области. На данном посту Бахриддин Валиев сменил Абдухалима Холмахматова, занимавшего данную должность с февраля прошлого года. Отмечается, что Абдухалим Холмахматов освобожден от должности в связи с переходом на другую работу.","['эээээ, uznews какого хрена убрали мой коммент? вы жопализы продажные ....', 'Этот человек один из порядочных сотрудников системы прокуратуры. В своё время он пережил много несправедливости в свой адрес.  ', 'Нахапалтаки, ой! то есть прошел жёсткий кадровый отбор', 'Эта контора плохих «футболистов» не держит,сколько человеческих надежд разбили эти «защитники»....и всегда игра по их правилам и в их пользу', 'Эта контора плохих «футболистов» не держит,сколько человеческих надежд разбили эти «защитники»....и всегда игра по их правилам и в их пользу', 'Отвратительная! И впрямом, и в переносном смысле, рожа!!!', 'а сколько миллиардов$ можно своровать имея такую ""жирную"" прокурорскую звезду на плечах? ']"
Назначен новый директор Общественного фонда поддержки и развития национальных масс-медиа,0,https://uznews.uz/posts/6542,"Акбар Ризаев назначен директором Общественного фонда поддержки и развития национальных масс-медиа, сообщает пресс-служба Фонда. Ранее он занимал должность начальника Управления информационно-аналитического обеспечения Агентства информации и массовых коммуникаций при Администрации президента. На этом посту Акбар Ризаев сменил Александру Колесниченко, занимавшую данную должность с июля прошлого года. ",[]
В Бектемирском районе Ташкента назначен новый хоким,8,https://uznews.uz/posts/6546,"Султонов Саиджамол Саидмухторович назначен хокимом Бектемирского района. Об этом сообщили в пресс-службе столичной администрации. До назначения с 2018 года он работал начальником Ташкентского городского территориального управления Торгово-промышленной палаты Узбекистана. Саиджамол Султонов родился в 1980 году в Ташкенте. В 2002 году он окончил Ташкентский финансовый институт. На этом посту Саиджамол Султонов сменил Жахонгира Иброхимова, работавшего хокимом района с августа прошлого года. ","['Да, особенно возьмите все речки под контроль ', 'Поздравляю... Решите вопрос с воздухом переводчески воняет канализацией']"
В Национальном детском медицинском центре сменился директор,4,https://uznews.uz/posts/6585,"В соответствии с распоряжением министра здравоохранения, Шарипов Алишер Мирхамидович назначен исполняющим обязанности директора Национального детского медицинского центра. Об этом сообщили в пресс-службе Минздрава. До своего назначения А. Шарипов работал заведующим отделением неотложной педиатрии Ташкентского педиатрического медицинского института. Напомним, с июля 2019 года Центр возглавлял Мурад Джафаров. А. Шарипов является доктором медицинских наук, окончил Медицинский институт в Ташкенте и аспирантуру в Московском медицинском институте имени Сеченова. На протяжении нескольких лет работал главным специалистом отдела науки Министерства здравоохранения, затем — главным педиатром министерства. Наряду с этим, А. Шарипов возглавлял координационную группу Комиссии по благотворительной помощи Кабинета министров, а также работал координатором группы Минздрава по связям с Министерством здравоохранения и социального обеспечения Республики Корея. ","['Отличный организатор и научный работник. На высоком уровне выполняет руководящую деятельность. Таких людей с широким мировоззрением и уровнем европейского образования мало в Узбекистане. Желаю ему удачи и здоровья. ', 'Очень хороший умный и честный человек! Рад, что он стал директором этого центра? успехов ему и больнице!']"
Назначена новая «четверка» руководителей города Ферганы,16,https://uznews.uz/posts/6594,"На должность хокима города Ферганы назначен Убайдуллаев Мирзохид Муродилович. До своего назначения он работал первым заместителем хокима Ферганской области по вопросам финансов, экономики и сокращеня бедности — начальником главного управления экономического развития и сокращения бедности. Прокурором города Ферганы стал Кобулов Дилмурод Кобулович. Ранее он занимал пост заместителя прокурора Ферганской области. Главой Ферганского городского управления внутренних дел назначен подполковник Аскаров Дилмурод Кобилович, бывший заместитель начальника УВД Ферганской области, начальник Управления по борьбе с преступностью. Пост руководителя налоговой инспекции города Ферганы занял Эркабаев Нуриддин Ахмаджонович. До этого он возглавлял отдел налогового контроля комплексов геологии и топливной энергетики межрегиональной Государственной налоговой инспекции по крупным налогоплательщикам. Напомним , недавно в ходе визита в Ферганскую область глава государства неожиданно посетил махаллю «Шодиёна» города Ферганы. Побеседовав с населением, Шавкат Мирзиёев остался недоволен деятельностью руководителей секторов. В результате этого, за допущенные недостатки при выполнении своих служебных обязанностей хоким, прокурор, начальники управления внутренних дел и налоговой инспекции города Ферганы были освобождены от занимаемых должностей.","['Призрачная четверка', 'Ну и рожи.....сама справедливость и честность', 'Chingiz Ayupov, назначают лояльных.', 'А нельзя ли назначить новых лиц? Помоложе, да и по активнее', 'очень честные лица.', 'Интересно, ЧТО сказали жители махалли ""Шодиёна"" Президенту, что он сразу всю золотую четверку снял?', 'А лица то какие, сразу видно на одну зарплату живут бедолаги', 'Все замы теперь стали боссами. отлично понимающие откуда и как зарабатывать теперь будут воровать вагонами и сажать и подставлять ещё круче .\nпозорище а не государство']"
Назначен глава управления по чрезвычайным ситуациям Ташкента,0,https://uznews.uz/posts/6617,Генерал-майор Хайдаров Равшан Хайдарович назначен начальником Управления по чрезвычайным ситуациям города Ташкента. Об этом сообщили в пресс-службе МЧС Узбекистана. До назначения Р. Хайдаров возглавлял Институт гражданской защиты МЧС. ,[]
